NAMHOC,F_MAMH,F_MAKH,F_MANG,F_TENMHVN,F_DVHT,TEN_KHKTVN,KHOI,TKET
2016,MT1003,MT,KHKH,Giải tích 1,4,Toán và KH Tự nhiên,DC,8
2016,MT1005,MT,KHKH,Giải tích 2,4,Toán và KH Tự nhiên,DC,7
2016,CH1003,MT,KHKH,Hóa đại cương,3,Toán và KH Tự nhiên,DC,9
2016,MT1007,MT,KHKH,Đại số tuyến tính,3,Toán và KH Tự nhiên,DC,6
2016,PH1003,MT,KHKH,Vật lý 1,4,Toán và KH Tự nhiên,DC,8
2016,PH1007,MT,KHKH,Thí nghiệm vật lý,1,Toán và KH Tự nhiên,DC,7
2016,CO1007,MT,KHKH,Cấu trúc rời rạc cho khoa học máy tính,4,Toán và KH Tự nhiên,DC,6
2016,CO1005,MT,KHKH,Nhập môn điện toán,3,Nhập môn,NM,9
2016,CO1009,MT,KHKH,Hệ thống số,4,Cơ sở ngành,CSN,10
2016,CO1011,MT,KHKH,Kỹ thuật lập trình,4,Cơ sở ngành,CSN,5
2016,LA1003,ALL,ALL,Anh văn 1,2,Ngoại ngữ,NN,0
2016,LA1005,ALL,ALL,Anh văn 2,2,Ngoại ngữ,NN,0
2016,MI1003,ALL,ALL,Giáo dục quốc phòng,0,Chứng chỉ,CC,0
2016,PE1003,ALL,ALL,Giáo dục thể chất 1,0,Chứng chỉ,CC,0
2016,PE1005,ALL,ALL,Giáo dục thể chất 2,0,Chứng chỉ,CC,0
